1	6.271957657560314e-10
2	1.2544243642656262e-9
3	1.8814888734618154e-9
4	2.508727176081905e-9
5	3.1352551427404585e-9
6	3.763015209352728e-9
7	4.389015683877691e-9
8	5.016497461256272e-9
9	5.644136761440876e-9
10	6.270197661210863e-9
11	6.897900211707955e-9
12	7.527090319280357e-9
13	8.150440039063004e-9
14	8.776261628546815e-9
15	9.398235958398984e-9
16	1.0008359161087786e-8
17	1.0653278993280101e-8
18	1.128152715237426e-8
19	1.1907270993328218e-8
20	1.253321780703704e-8
21	1.3165967341594876e-8
22	1.3781364376366158e-8
23	1.4407418995697494e-8
24	1.503115988875561e-8
25	1.5651245118459428e-8
26	1.6289196199147326e-8
27	1.691446217982119e-8
28	1.7544353923030713e-8
29	1.8177031510485407e-8
30	1.8772441913915915e-8
31	1.941221444911588e-8
32	2.0032271458828967e-8
33	2.065079369561147e-8
34	2.1278101263698207e-8
35	2.1908145991104407e-8
36	2.2510455385286254e-8
37	2.313632886608373e-8
38	2.3767442851243676e-8
39	2.4386360327727036e-8
40	2.503721845037812e-8
41	2.5492150281118545e-8
42	2.6127148515921568e-8
43	2.6736374404357854e-8
44	2.7462454463585884e-8
45	2.8105682828090112e-8
46	2.8713278944997343e-8
47	2.9381521892204775e-8
48	2.99834749341125e-8
49	3.0611253805734857e-8
50	3.120010551888403e-8
51	3.1802747359503275e-8
52	3.2413353180041866e-8
53	3.300214447890948e-8
54	3.3656701332632e-8
55	3.423649440792315e-8
56	3.486594105749562e-8
57	3.551862403451419e-8
58	3.615384021211285e-8
59	3.67531355409156e-8
60	3.7390212953164045e-8
61	3.7930817314408256e-8
62	3.8577112241350846e-8
63	3.917747311540537e-8
64	3.981576277477041e-8
65	4.038392369701666e-8
66	4.098877526979759e-8
67	4.166307302789472e-8
68	4.222944988954352e-8
69	4.286465731575236e-8
70	4.346301457502576e-8
71	4.4122317288452684e-8
72	4.4701664100416415e-8
73	4.522545789423653e-8
74	4.58716169146606e-8
