8.95574368861664e-9	9.074203449848757e-9	9.402054323729647e-9	9.97475407430275e-9	1.0860011731330511e-8	1.2177229097135573e-8	1.4138165148146715e-8	1.7136574605001458e-8	2.1965603357721865e-8	3.042260270985017e-8	4.7359310525348806e-8	9.013905012845576e-8	2.663000155766835e-7	5.841973604720714e-6	6.456784096793333e-7	1.0821631791661046e-7	4.0388750283529984e-8	2.0083859236227544e-8	1.1599010325327908e-8	7.346633558347335e-9	4.954935261157491e-9	3.4977599838943866e-9	2.5561623365855317e-9	1.919622042313906e-9	1.4736345888294416e-9	1.1519415863261175e-9	9.142447496790276e-10	7.350100610340048e-10	5.974940135276179e-10	4.903925563286439e-10	4.0588005858108954e-10	3.384193703393324e-10	2.840167486680389e-10	2.3974233625028096e-10	2.0341396867915004e-10	1.7338413177000324e-10	1.4839361833393997e-10	1.274692371372681e-10	1.0985117744049754e-10	9.494068619695917e-11	8.226187970021625e-11	7.143353353991977e-11	6.214801066971899e-11	5.4155358328584625e-11	4.725118994068911e-11	4.126736716910576e-11	3.6064772818966384e-11	3.1527657627964345e-11	2.755917936538806e-11	2.4077848658809218e-11	2.1014658792597943e-11	1.8310731197150212e-11	1.5915309913675117e-11	1.3783946488628044e-11	1.1876635413799452e-11	1.015537973605382e-11	8.57973671419134e-12	7.094248777097614e-12	5.559964120696445e-12	4.6440394756300456e-8	7.720587793292434e-8	9.555225689932906e-8	1.0864442877514159e-7	1.1829962703854723e-7	1.256105333157014e-7	1.3151123156124828e-7	1.361467881023027e-7	1.3951786630580246e-7	1.4243995905117075e-7	1.4442964032136236e-7	1.4572305126664125e-7
1.004171606514066e-8	8.95575194486239e-9	9.27756276053688e-9	9.838633878323067e-9	1.07051465576884e-8	1.1992983188627975e-8	1.3907118358821286e-8	1.6827444207072737e-8	2.1515786186279618e-8	2.9687694717119943e-8	4.593027803802117e-8	8.639578075778973e-8	2.4758853874919545e-7	4.2308310871737705e-6	7.287039328810344e-7	1.1366002467278319e-7	4.162404457700903e-8	2.0518568080481346e-8	1.1791143182671536e-8	7.4443579130578395e-9	5.009627939211072e-9	3.5305725545211712e-9	2.5769181044150567e-9	1.9333107879889802e-9	1.4829729835824635e-9	1.1584929838112666e-9	9.189505304268222e-10	7.384589278324843e-10	6.000661095181408e-10	4.92340204173278e-10	4.0737479438143994e-10	3.395802831030682e-10	2.8492806628316416e-10	2.4046462539088765e-10	2.0399143399568894e-10	1.738494720191331e-10	1.48771317666474e-10	1.277778335854662e-10	1.1010485052387373e-10	9.515038363514922e-11	8.243612734650023e-11	7.15790245150975e-11	6.227003859682236e-11	5.425813917327635e-11	4.73381033760256e-11	4.1341139207678764e-11	3.6127615849092034e-11	3.1581375500282164e-11	2.7605252872197072e-11	2.4117499328575675e-11	2.1048902036858147e-11	1.834041602850947e-11	1.5941153848674095e-11	1.3806565964121776e-11	1.1896573874278042e-11	1.0173148214045227e-11	8.595887739390256e-12	7.109607232760397e-12	5.577446671317194e-12	4.589935508319603e-8	7.70147067184354e-8	9.539545348460864e-8	1.0849306022645754e-7	1.1818933391759102e-7	1.2565559178731738e-7	1.3145118306603872e-7	1.361440230324101e-7	1.3958689326876977e-7	1.4214763720411688e-7	1.4473740243954671e-7	1.4537717783060405e-7
1.08028201424848e-8	1.8424718833649946e-8	8.955751544946367e-9	9.48848692150659e-9	1.0307829009927462e-8	1.1521600075883386e-8	1.3318074183898469e-8	1.6043067434385966e-8	2.038208857145853e-8	2.7854020568487177e-8	4.242263728175877e-8	7.748607780203469e-8	2.0636315975795671e-7	2.1675454554344913e-6	1.0480814436143063e-6	1.303494679503738e-7	4.5207231831804876e-8	2.174849420494078e-8	1.2327132830494627e-8	7.714523990920654e-9	5.159885234455972e-9	3.6203063310689567e-9	2.634007541772666e-9	1.970513727359672e-9	1.508296984459632e-9	1.1762272635385384e-9	9.316698002405748e-10	7.47769144371098e-10	6.070020293060153e-10	4.975873807247656e-10	4.113985431295345e-10	3.427032022934256e-10	2.8737804315206323e-10	2.424053545136897e-10	2.0554227506300172e-10	1.7509864253952863e-10	1.4978482320848082e-10	1.2860561592361813e-10	1.1078508606687506e-10	9.57125311915319e-11	8.290311717477192e-11	7.19688493980136e-11	6.259692306613394e-11	5.4533407547001925e-11	4.757083036204008e-11	4.15386424668492e-11	3.6295828830795904e-11	3.172514010226021e-11	2.772854023361159e-11	2.4223585746356326e-11	2.1140507463836856e-11	1.8419815376089914e-11	1.6010268410233602e-11	1.3867046578253663e-11	1.1949876196975688e-11	1.0220635954129638e-11	8.63902472356045e-12	7.150568541621835e-12	5.623704997715628e-12	4.4734157722036734e-8	7.636566286014346e-8	9.501280382904519e-8	1.0817481085771521e-7	1.1791486796179849e-7	1.2550408444525306e-7	1.3139127389547383e-7	1.3590194151909873e-7	1.3922893027426905e-7	1.4220273564359552e-7	1.4457752976125275e-7	1.4564456244299045e-7
1.1268390696287882e-8	3.2134125325503226e-8	1.871543579709327e-8	8.955750577114593e-9	9.707079628363305e-9	1.0812662594641037e-8	1.2437934887623273e-8	1.4881223818930681e-8	1.8723228591191633e-8	2.5219184835253013e-8	3.752742144225886e-8	6.570162356306473e-8	1.5842895139244945e-7	1.0149189539242979e-6	2.2899739039834433e-6	1.664606992755114e-7	5.2091784029442466e-8	2.399381259508743e-8	1.3278255076030314e-8	8.185401119000571e-9	5.418555137044844e-9	3.773401854697537e-9	2.729331255038196e-9	2.0332203637635048e-9	1.550799690441024e-9	1.2058882017066739e-9	9.528815887459336e-10	7.632579338668185e-10	6.185169585407562e-10	5.062831560308808e-10	4.180565057622203e-10	3.4786360387060906e-10	2.914216344925705e-10	2.456050731342827e-10	2.0809677463118513e-10	1.7715450818066645e-10	1.514512263548896e-10	1.2996570538392866e-10	1.1190230295834152e-10	9.663528003716873e-11	8.366927254005485e-11	7.260810405662829e-11	6.313273206434579e-11	5.498442972227021e-11	4.795200606781748e-11	4.186201304767394e-11	3.657115466567058e-11	3.196037776361916e-11	2.7930212988994463e-11	2.4397072632466362e-11	2.1290271715604226e-11	1.8549587423053062e-11	1.6123198557995293e-11	1.3965833888172203e-11	1.2036901134186642e-11	1.0298121407886019e-11	8.709336063862008e-12	7.217158660704969e-12	5.697849732750669e-12	4.257907880052128e-8	7.53771882483245e-8	9.43889253668617e-8	1.0760154912218436e-7	1.1752924798137328e-7	1.2539197243146299e-7	1.3119141866860766e-7	1.3549791495816528e-7	1.3914272308877693e-7	1.4199439418246283e-7	1.445784224899051e-7	1.4600802958412087e-7
1.1440970195638793e-8	4.256616364635065e-8	4.2561450150472456e-8	1.6681742022912212e-8	8.955749260524928e-9	9.933604209818355e-9	1.1356650395331793e-8	1.3470954581132782e-8	1.674304592129235e-8	2.215005957273992e-8	3.204163854498118e-8	5.33757243150625e-8	1.155049770999809e-7	4.918527443278744e-7	0.000019918045522059102	2.4743210450146833e-7	6.452935064221532e-8	2.7717850475524732e-8	1.4785280530030708e-8	8.91062952208647e-9	5.809354931757975e-9	4.001512953666516e-9	2.8706624859423356e-9	2.124934760568852e-9	1.6125626465458713e-9	1.2487634167817997e-9	9.834098694931255e-10	7.854680009377978e-10	6.349773416514785e-10	5.186789739817338e-10	4.2752543168885526e-10	3.5518868398965583e-10	2.971512082824887e-10	2.501317761995163e-10	2.1170560564224156e-10	1.800552566684955e-10	1.5380064243791978e-10	1.3188134996951475e-10	1.1347382297360821e-10	9.793216477055344e-11	8.474524687592851e-11	7.350523137218443e-11	6.388419899829575e-11	5.561660732793695e-11	4.848599184741388e-11	4.231478812029009e-11	3.695647336717026e-11	3.228944377432357e-11	2.821220440938703e-11	2.4639551754131596e-11	2.149950835523048e-11	1.8730818297849566e-11	1.6280839381769266e-11	1.4103664840557577e-11	1.2158246134759254e-11	1.0406068094172397e-11	8.807137507175451e-12	7.309443937806665e-12	5.798707650369023e-12	3.945526906356913e-8	7.396625552381481e-8	9.353271950453017e-8	1.0707323406002279e-7	1.1717492888503358e-7	1.249707440111107e-7	1.308564635453891e-7	1.3542651358627274e-7	1.3925694073196398e-7	1.4207234160030972e-7	1.4480696653003117e-7	1.4592443117081267e-7
1.1344893477181018e-8	4.982824845933929e-8	6.351790161506008e-8	4.456107142478128e-8	1.4501361832996893e-8	8.955747635897964e-9	1.016839615525781e-8	1.194383800380034e-8	1.4641238155025375e-8	1.898486002047828e-8	2.6629989034876417e-8	4.2110404561469257e-8	8.20649942200533e-8	2.555031914405312e-7	9.017920447728216e-6	4.7659671388779615e-7	8.807969685251536e-8	3.38702070871633e-8	1.710956034985432e-8	9.983743496998136e-9	6.371941443163815e-9	4.323541280630631e-9	3.0673187703228443e-9	2.2511249230313295e-9	1.6967883583412343e-9	1.3068111802917735e-9	1.0244958290152582e-9	8.152102825858083e-10	6.569269958352442e-10	5.351520807559793e-10	4.400695583927705e-10	3.6486430608340355e-10	3.0470120551353066e-10	2.5608408542970617e-10	2.164420376138207e-10	1.8385595556641368e-10	1.5687385167283047e-10	1.3438371467695165e-10	1.1552445339921142e-10	9.962253412584792e-11	8.614624443617514e-11	7.467226224348888e-11	6.486090531273942e-11	5.6437616823129846e-11	4.917896762636185e-11	4.290197174384955e-11	3.745585611353078e-11	3.2715664565306296e-11	2.8577242786937346e-11	2.495326806301523e-11	2.1770069169010577e-11	1.896503642563882e-11	1.6484452461132495e-11	1.4281575257263376e-11	1.2314751151549842e-11	1.0545135783169424e-11	8.93289086876421e-12	7.42756390642419e-12	5.925080951801865e-12	3.487896597806642e-8	7.205874597474675e-8	9.220199124347087e-8	1.0611114763679525e-7	1.164646501207705e-7	1.241583140545152e-7	1.3042667621682945e-7	1.3538738206564776e-7	1.3918984610452637e-7	1.4207642778959757e-7	1.4438307213436092e-7	1.4594745318716872e-7
1.1022357479262398e-8	5.4335397047171715e-8	7.856181091553962e-8	7.318805455998908e-8	4.236799877545785e-8	1.2684377780470584e-8	8.95574571937713e-9	1.0411827373028638e-8	1.2578846987901387e-8	1.5974182510008106e-8	2.171779792292131e-8	3.264483419924125e-8	5.787548332053163e-8	1.424851648724139e-7	9.818157038007582e-7	1.7025155078271734e-6	1.39129988423776e-7	4.454197330106114e-8	2.0749410415537143e-8	1.1568887649721562e-8	7.172049622830357e-9	4.769578154075989e-9	3.334411451130735e-9	2.419986523854825e-9	1.8081860513999278e-9	1.3828667053819187e-9	1.0779135225387666e-9	8.536314280848609e-10	6.851278488691092e-10	5.562168053701755e-10	4.560460150615928e-10	3.7714555375330743e-10	3.142551714464441e-10	2.6359602980574325e-10	2.2240523579100747e-10	1.8863085442150667e-10	1.6072740649515304e-10	1.375160704990647e-10	1.1808734612277525e-10	1.0173217667750031e-10	8.789248406660632e-11	7.612516242487444e-11	6.607554204548159e-11	5.745760827619828e-11	5.003909900762656e-11	4.3630166042429184e-11	3.807466711220826e-11	3.3243417741234655e-11	2.902891461376694e-11	2.5341169773939943e-11	2.210438455202544e-11	1.925424776558928e-11	1.6735693123947412e-11	1.4500925956003664e-11	1.2507521943134507e-11	1.0716195671960906e-11	9.087218497706307e-12	7.571772067849884e-12	6.075965455429892e-12	2.818621727047923e-8	6.970163987707797e-8	9.069737561736624e-8	1.0510229813494955e-7	1.1563439845763691e-7	1.237376211107287e-7	1.301330294401158e-7	1.351317155040887e-7	1.3891765260732173e-7	1.416955114199671e-7	1.4396147421444735e-7	1.4607843005002904e-7
1.0524939122022293e-8	5.652754687982478e-8	8.800663284625578e-8	9.510710540766257e-8	7.521465874421244e-8	3.847895858088981e-8	1.1272451417696474e-8	8.955743519956833e-9	1.0664311432645787e-8	1.3266975501241444e-8	1.750138228308519e-8	2.509691031246296e-8	4.098770476056399e-8	8.462884151733107e-8	3.0736496291952946e-7	0.0007963657907203424	2.853132531353429e-7	6.503240743908526e-8	2.672850657374159e-8	1.3964275944046526e-8	8.320103023919624e-9	5.387443562160297e-9	3.695140593967312e-9	2.6437195471813208e-9	1.9535964855933696e-9	1.4809677761224874e-9	1.146148573527286e-9	9.023161995007861e-10	7.206208157706778e-10	5.825759662754579e-10	4.759391885183947e-10	3.9237199306088423e-10	3.2605583910285825e-10	2.7284379079188134e-10	2.2972487697269903e-10	1.944766018361961e-10	1.6543415963805168e-10	1.4133390427698267e-10	1.212051633375262e-10	1.0429418405031664e-10	9.000983766401675e-11	7.788430928800066e-11	6.754426907054103e-11	5.868947817354668e-11	5.107673878298806e-11	4.4507727052298336e-11	3.8819684339867976e-11	3.387822628196047e-11	2.957173786493786e-11	2.580696695718537e-11	2.250550752895176e-11	1.960097179063701e-11	1.703663863491314e-11	1.4763425103679263e-11	1.2737950906788328e-11	1.0920353430680806e-11	9.27093226048871e-12	7.742469921273135e-12	6.25068522266464e-12	1.6935538433148822e-8	6.663520446419115e-8	8.880363657986888e-8	1.0378421513686134e-7	1.147306032255944e-7	1.2305135225295537e-7	1.2929007119956176e-7	1.3429071257049893e-7	1.380716119686726e-7	1.415849241012692e-7	1.4335466634375594e-7	1.4560569313313832e-7
9.90541914661902e-9	5.685761101027532e-8	9.280533076497714e-8	1.0944031950291598e-7	1.0212119005384441e-7	7.278936896926546e-8	3.41541584540005e-8	1.0196034141001545e-8	8.95574104310712e-9	1.0926290539534983e-8	1.4014291715461295e-8	1.926255362902728e-8	2.9343825294234435e-8	5.304003834184008e-8	1.3562653125390238e-7	1.0978741446474844e-6	1.1214254919333998e-6	1.1228121082552578e-7	3.741687610875183e-8	1.7755199266894483e-8	1.0011698526491798e-8	6.25613704613705e-9	4.185826271068696e-9	2.9406946755041272e-9	2.143011371100884e-9	1.6068693081945318e-9	1.232673169496488e-9	9.634415779779896e-10	7.648156903228221e-10	6.151682339260937e-10	5.003889769339472e-10	4.1098912278760916e-10	3.4041912531293574e-10	2.840551152541526e-10	2.3856754727055904e-10	2.0151666277641426e-10	1.7108671386112548e-10	1.4590742778439716e-10	1.2493166914800844e-10	1.0735009927443959e-10	9.25306746366181e-11	7.997511944575418e-11	6.928718540429151e-11	6.014922562513152e-11	5.230469951928245e-11	4.554496564179474e-11	3.969925425173477e-11	3.462688425336511e-11	3.0211264230544915e-11	2.635520724636445e-11	2.2977179285288533e-11	2.0008289845304368e-11	1.738983200742551e-11	1.5071164513868632e-11	1.3007745303840841e-11	1.1158971711454701e-11	9.485051964880752e-12	7.940250020663102e-12	6.448956986490566e-12	4.638328052415063e-12	6.292364047817166e-8	8.658436047499555e-8	1.0219884118261335e-7	1.1354776317955203e-7	1.2211776427561078e-7	1.2885836747702337e-7	1.340520188153348e-7	1.380980876948569e-7	1.411623515884363e-7	1.4374690253666196e-7	1.4491689322238213e-7
9.212469808010461e-9	5.576569420245657e-8	9.398961914204506e-8	1.1718893903392003e-7	1.2057112660149457e-7	1.0272558442530643e-7	6.805117538092173e-8	2.997949695232484e-8	9.374116862664238e-9	8.955738291635209e-9	1.1198228862368375e-8	1.4827759942324418e-8	2.1308136553206348e-8	3.4784223026099564e-8	7.138551254337032e-8	2.524205033603384e-7	0.000097467035902822	2.688381531836566e-7	5.940271207887066e-8	2.4216286356749087e-8	1.2617107726023101e-8	7.51208957620945e-9	4.8652768054589865e-9	3.3392531684103866e-9	2.391278235820761e-9	1.7688714309755326e-9	1.3423748114396933e-9	1.0400107405072935e-9	8.196246098315528e-10	6.552481494236964e-10	5.302403001097037e-10	4.3357886550395956e-10	3.5775381086729396e-10	2.975222090818368e-10	2.4914540553780245e-10	2.0990724365069087e-10	1.7780153689496375e-10	1.513244775088621e-10	1.293338002232684e-10	1.1095142139859052e-10	9.549496361117736e-11	8.24288430146162e-11	7.132892017727839e-11	6.185639433719248e-11	5.3738599961533174e-11	4.67544461101544e-11	4.072352515041947e-11	3.5497611572871505e-11	3.095419242054628e-11	2.6991379506308338e-11	2.352390679875173e-11	2.0479913290558094e-11	1.779832962519246e-11	1.5426660419238667e-11	1.3318961715883192e-11	1.1433706325388055e-11	9.730851434568616e-12	8.165936271681704e-12	6.670907384795165e-12	4.999903627925505e-12	5.823243660289724e-8	8.38911096304707e-8	1.0019848118295105e-7	1.1206462692014826e-7	1.210206521496832e-7	1.2785113028167757e-7	1.3325282194328243e-7	1.3773746068260777e-7	1.4087463058124783e-7	1.4366952559109438e-7	1.4538563782350063e-7
