1	1.6315480938780762e-8
11	1.7760608000992168e-7
21	3.298980059525328e-7
31	4.664073386904424e-7
41	5.823641218835961e-7
51	6.753935687558727e-7
61	7.454092674868906e-7
71	7.936058735353032e-7
81	8.221098823513589e-7
91	8.333687936451156e-7
101	8.2987340953758e-7
111	8.135413320159845e-7
121	7.85905817648722e-7
131	7.4784211770603e-7
141	6.993486821184648e-7
151	6.395601497216166e-7
161	5.662529217173949e-7
171	4.7507089186115466e-7
181	3.575371551786767e-7
191	1.9264570865277718e-7
201	0.
211	0.
221	0.
231	7.482141922151291e-7
241	1.913405374260154e-6
251	2.9675467112117096e-6
261	3.6503310133295803e-6
271	3.8245975572961025e-6
281	3.6220963442831977e-6
291	3.2499235428782174e-6
301	2.8421946684626746e-6
311	2.4659565129243543e-6
321	2.142294360661982e-6
331	1.866890505677149e-6
341	1.6379086224700145e-6
351	1.4465984275377337e-6
361	1.2846959313321374e-6
371	1.1462756727666758e-6
381	1.0278903046558848e-6
391	9.286332758825297e-7
401	8.414115173507126e-7
411	7.650156227534028e-7
421	6.985237302506649e-7
431	6.400229257487396e-7
441	5.887703541148477e-7
451	5.425336014141894e-7
461	5.02165131696314e-7
471	4.65720862198243e-7
481	4.3305649460934923e-7
491	4.0306021858773785e-7
501	3.777872764870601e-7
511	3.5449905693510274e-7
521	3.3293486313825194e-7
531	3.138715797345995e-7
541	2.960871736050793e-7
551	2.80764833363395e-7
561	2.6652561937238266e-7
571	2.5363467333503757e-7
581	2.415956066548085e-7
591	2.3078826056541731e-7
601	2.2071522353971228e-7
611	2.116711142552353e-7
621	2.0357020033642275e-7
631	1.9601593915685397e-7
641	1.8915700876464224e-7
651	1.827863529071571e-7
661	1.7691619440172328e-7
671	1.7149688442409322e-7
681	1.6633387690249003e-7
691	1.618069949306439e-7
701	1.577098342319251e-7
711	1.540160080646646e-7
721	1.5058913320503267e-7
731	1.4739102414421025e-7
741	1.444850484101231e-7
751	1.4187929852773296e-7
761	1.3944667776318104e-7
771	1.37189656677512e-7
781	1.3518184838934823e-7
791	1.3332093373561323e-7
801	1.315523874684328e-7
811	1.3006535147244573e-7
821	1.2868251889272224e-7
831	1.273924486448446e-7
841	1.2618582647054186e-7
851	1.2504532391403826e-7
861	1.2390703398458555e-7
871	1.2289344487810112e-7
881	1.2169707107150253e-7
891	1.2068632228171043e-7
901	1.1965122534441563e-7
911	1.1860859790516976e-7
921	1.1732685421586113e-7
931	1.1627758119568943e-7
941	1.1530858840035895e-7
951	1.1429311353210529e-7
961	1.1331138129709335e-7
971	1.1181096083414093e-7
981	1.1057587526665479e-7
991	1.0934300100827916e-7
1001	1.0830435132216925e-7
1011	1.0714250629699866e-7
1021	1.0595818114562258e-7
1031	1.0464696116183474e-7
1041	1.0336981983508967e-7
1051	1.0217022995136282e-7
1061	1.009735297548696e-7
1071	9.962094196034984e-8
1081	9.833494872143739e-8
1091	9.710033750899784e-8
1101	9.589714622374642e-8
1111	9.466153526316326e-8
1121	9.345440640263628e-8
1131	9.226278034702189e-8
1141	9.10612569613167e-8
1151	8.986466836012276e-8
1161	8.868629683573568e-8
1171	8.750874067978866e-8
1181	8.637195305588221e-8
1191	8.522451132525371e-8
1201	8.411228320668766e-8
1211	8.299128595084719e-8
1221	8.18921391798703e-8
1231	8.080435704591969e-8
1241	7.97354063933873e-8
1251	7.868302428202215e-8
1261	7.763465470402797e-8
1271	7.6611943614836e-8
1281	7.55944609505366e-8
1291	7.459080627926226e-8
1301	7.360762128784181e-8
1311	7.264908606150677e-8
1321	7.169733773553174e-8
1331	7.075511921878149e-8
1341	6.983247654089682e-8
1351	6.892309459189055e-8
1361	6.801795378228855e-8
1371	6.71346277433933e-8
1381	6.626159660780845e-8
1391	6.53951776084987e-8
1401	6.455754502102024e-8
1411	6.37217206116446e-8
1421	6.289487510178892e-8
1431	6.208918517833112e-8
1441	6.129518279220387e-8
1451	6.05048765895062e-8
1461	5.9734539656418e-8
1471	5.8975720901053964e-8
1481	5.822834220175581e-8
1491	5.7485522059205634e-8
1501	5.67605875234983e-8
1511	5.604719077373397e-8
1521	5.5338536697691305e-8
1531	5.464605978372787e-8
1541	5.396113203190731e-8
1551	5.328735423328415e-8
1561	5.2623070524273865e-8
1571	5.197161027691701e-8
1581	5.132998043356377e-8
1591	5.069372192322109e-8
1601	5.007132403075381e-8
1611	4.945825102332313e-8
1621	4.885023666429314e-8
1631	4.825563611390893e-8
1641	4.7669494237232495e-8
1651	4.709277178208223e-8
1661	4.651915034785215e-8
1671	4.595952799408139e-8
1681	4.54082391840002e-8
1691	4.486515499137464e-8
1701	4.433014696091921e-8
1711	4.3797924984181725e-8
1721	4.327875569046824e-8
1731	4.2767294864789136e-8
1741	4.226343402255971e-8
1751	4.176565181384731e-8
1761	4.1273710652558434e-8
1771	4.079298637746744e-8
1781	4.03171237131207e-8
1791	3.984848103805882e-8
1801	3.938688009417785e-8
1811	3.892843389634462e-8
1821	3.8480296161571203e-8
1831	3.803867065173223e-8
1841	3.7603237062853354e-8
1851	3.717191630996967e-8
1861	3.674921427552255e-8
1871	3.6332659321386474e-8
1881	3.592294372066577e-8
1891	3.551753039123036e-8
1901	3.5117151019419754e-8
1911	3.472357375567778e-8
1921	3.433409592291114e-8
1931	3.395031720645707e-8
1941	3.3573217780782145e-8
1951	3.3199319034470996e-8
1961	3.2832828363957675e-8
1971	3.247148754316177e-8
1981	3.2115209134100374e-8
1991	3.1763908519749173e-8
2001	3.1414991705153414e-8
